Date,Ticker,Company,Sector,Open,High,Low,Close,Volume,Daily_Return_%,Cumulative_Return_%,MA_20,Price_vs_MA20,Volatility_20d
2025-08-25,AAPL,Apple,Technology,226.0491451945495,228.86378779922748,225.79962078901826,226.7278594970703,30983100,,0.0,,,
2025-08-26,AAPL,Apple,Technology,226.43840339540802,229.0534295301293,224.26255788237486,228.87376403808594,54575100,0.9465,0.9465,,,
2025-08-27,AAPL,Apple,Technology,228.17510050695543,230.46073738560713,227.82576024347395,230.05152893066406,31259500,0.5146,1.4659,,,
2025-08-28,AAPL,Apple,Technology,230.3809040856524,232.9659733126178,228.90370861616245,232.11758422851562,38074700,0.8981,2.3772,,,
2025-08-29,AAPL,Apple,Technology,232.0676707602769,232.9360260407387,230.92984008944924,231.69837951660156,39418400,-0.1806,2.1923,,,
2025-09-02,AAPL,Apple,Technology,228.81388239599917,230.4108447009183,226.53822101083426,229.28298950195312,44075600,-1.0425,1.127,,,
2025-09-03,AAPL,Apple,Technology,236.75874463665696,238.395624134605,233.9141603097862,238.01634216308594,66427800,3.809,4.9789,,,
2025-09-04,AAPL,Apple,Technology,237.9963808412042,239.4436193831587,236.28964239378743,239.3238525390625,47549400,0.5493,5.5556,,,
2025-09-05,AAPL,Apple,Technology,239.54341659874092,240.86091270031892,238.03629475202086,239.2340087890625,54870400,-0.0375,5.5159,,,
2025-09-08,AAPL,Apple,Technology,238.84475646782593,239.69313028194867,235.89038089866295,237.42745971679688,48999500,-0.7551,4.7191,,,
2025-09-09,AAPL,Apple,Technology,236.54912730927947,238.3257397896772,232.9160527142261,233.9041748046875,66313900,-1.4839,3.1652,,,
2025-09-10,AAPL,Apple,Technology,231.7482872752143,231.97784546194652,225.52015268533836,226.35855102539062,83440800,-3.2259,-0.1629,,,
2025-09-11,AAPL,Apple,Technology,226.44839058875493,230.01159113632517,226.21881717306923,229.59239196777344,50208600,1.4286,1.2634,,,
2025-09-12,AAPL,Apple,Technology,228.78394562468256,234.0638755168574,228.58432913969838,233.62472534179688,55824200,1.7563,3.0419,,,
2025-09-15,AAPL,Apple,Technology,236.54912714503797,237.7368657054393,234.58287368836292,236.24969482421875,42699500,1.1236,4.1997,,,
2025-09-16,AAPL,Apple,Technology,236.72878926810645,240.76111223381088,235.87043992435724,237.6969451904297,63421100,0.6126,4.838,,,
2025-09-17,AAPL,Apple,Technology,238.5153883976145,239.6432435766681,237.27774187166392,238.5353546142578,46508000,0.3527,5.2078,,,
2025-09-18,AAPL,Apple,Technology,239.5134800259323,240.74113579799257,236.199788714976,237.42745971679688,44249600,-0.4645,4.7191,,,
